departamento,anio,denuncias_total,meses_observados,anio_completo,denuncias_estafa,denuncias_extorsion,denuncias_hurto,denuncias_otros,denuncias_robo,denuncias_secuestro,denuncias_violencia_contra_la_mujer_e_integrantes,prop_estafa,prop_extorsion,prop_hurto,prop_otros,prop_robo,prop_secuestro,prop_violencia_contra_la_mujer_e_integrantes,diversidad_modalidades,poblacion,ubigeo,denuncias_tasa_100k,denuncias_tasa_100k_lag1,denuncias_total_lag1,denuncias_tasa_yoy
APURIMAC,2020,10878,12,True,173.0,8.0,733.0,4415.0,151.0,14.0,5384.0,0.015903658760801617,0.0007354293068578783,0.0673837102408531,0.4058650487221916,0.013881228166942452,0.001287001287001287,0.4949439235153521,1.0349446284189583,430736.0,030000,2525.4448200289735,2742.1686410436073,11780.0,-0.07903373183209972
APURIMAC,2021,12128,12,True,182.0,7.0,1093.0,5229.0,170.0,7.0,5440.0,0.015006596306068602,0.0005771767810026385,0.09012203166226913,0.431151055408971,0.014017150395778364,0.0005771767810026385,0.44854881266490765,1.0706742853834785,430609.0,030000,2816.476199986531,2525.4448200289735,10878.0,0.11523965110994516
APURIMAC,2022,11461,12,True,178.0,28.0,1132.0,4975.0,224.0,11.0,4913.0,0.015530930983334787,0.0024430677951313147,0.09876974086030887,0.43408079574208186,0.019544542361050517,0.000959776633801588,0.4286711456242911,1.1169690911401609,429720.0,030000,2667.085544075212,2816.476199986531,12128.0,-0.05304168943875087
APURIMAC,2023,11637,12,True,295.0,51.0,1359.0,5122.0,293.0,10.0,4507.0,0.02535017616224113,0.004382572828048466,0.11678267594740913,0.44014780441694595,0.025178310561141188,0.0008593280054996992,0.38729913207871447,1.195090608836332,428311.0,030000,2716.951000558006,2667.085544075212,11461.0,0.01869660933582251
APURIMAC,2024,12115,12,True,443.0,42.0,1616.0,5334.0,237.0,16.0,4427.0,0.03656624019810153,0.003466776723070574,0.13338836153528683,0.44028064382996285,0.019562525794469664,0.001320676846884028,0.36541477507222453,1.224100946229865,426626.0,030000,2839.7237861733697,2716.951000558006,11637.0,0.045187706951707485
APURIMAC,2025,11974,12,True,433.0,53.0,1303.0,5872.0,186.0,11.0,4116.0,0.03616168364790379,0.004426256889928178,0.10881910806747953,0.49039585769166527,0.015533656255219642,0.000918657090362452,0.3437447803574411,1.173022567341377,424906.0,030000,2818.035047751738,2839.7237861733697,12115.0,-0.007637622548796519
APURIMAC,2026,5919,7,False,170.0,24.0,593.0,3005.0,70.0,2.0,2055.0,0.028721067747930394,0.0040547389761784085,0.10018584220307485,0.5076871093090048,0.011826322013853691,0.00033789491468153406,0.34718702483527625,1.121418159258772,423128.0,030000,1398.8674821803331,2818.035047751738,11974.0,-0.5036018152803436
AREQUIPA,2018,57268,12,True,810.0,57.0,9210.0,21353.0,3252.0,91.0,22495.0,0.014144024586156318,0.0009953202486554446,0.16082279807222183,0.3728609345533282,0.056785639449605366,0.001589020046099043,0.3928022630439338,1.2690360603999011,1428708.0,040000,4008.3767991779982,,,
AREQUIPA,2019,59314,12,True,763.0,93.0,9380.0,22987.0,3317.0,80.0,22694.0,0.012863742118218295,0.0015679266277775904,0.15814141686616986,0.387547627878747,0.05592271639073406,0.0013487540884108305,0.3826078160299423,1.2629144027545962,1464638.0,040000,4049.7378874506876,4008.3767991779982,57268.0,0.010318662726810368
AREQUIPA,2020,46863,12,True,958.0,59.0,5997.0,18484.0,1948.0,48.0,19369.0,0.020442566630390714,0.0012589889678424344,0.12796876000256066,0.3944263064677891,0.04156797473486546,0.0010242622111260482,0.4133111409854256,1.2224124555617588,1497438.0,040000,3129.5452633097334,4049.7378874506876,59314.0,-0.22722276100693917
AREQUIPA,2021,53090,12,True,1241.0,88.0,8271.0,22051.0,2619.0,91.0,18729.0,0.023375400263703147,0.0016575626294970803,0.155792051233754,0.41535129026181955,0.0493313241665097,0.0017140704464117535,0.35277830099830476,1.2799356790938266,1526669.0,040000,3477.505602065674,3129.5452633097334,46863.0,0.11118559071037226
AREQUIPA,2022,62846,12,True,1689.0,348.0,11593.0,26904.0,4259.0,80.0,17973.0,0.026875218788785283,0.005537345256659135,0.1844667918403717,0.42809407122171655,0.06776883174744613,0.0012729529325653183,0.2859847882124558,1.349867578078991,1553994.0,040000,4044.159758660587,3477.505602065674,53090.0,0.16294845255125257
AREQUIPA,2023,73196,12,True,2354.0,485.0,15865.0,28367.0,6827.0,89.0,19209.0,0.03216022733482704,0.006626045139078638,0.21674681676594348,0.3875484999180283,0.09327012405049456,0.001215913437892781,0.2624323733537352,1.4230449286179359,1580075.0,040000,4632.438333623404,4044.159758660587,62846.0,0.14546373290595538
AREQUIPA,2024,67988,12,True,2617.0,400.0,14176.0,28649.0,4451.0,94.0,17601.0,0.03849208683885392,0.005883391186680002,0.2085073836559393,0.42138318526798846,0.06546743542978173,0.0013825969288698006,0.2588839206918868,1.3840834169018799,1605569.0,040000,4234.511254265622,4632.438333623404,73196.0,-0.08590013524185036
AREQUIPA,2025,56446,12,True,2423.0,510.0,9504.0,26522.0,2413.0,86.0,14988.0,0.042925982354817,0.009035184069730362,0.16837331254650462,0.46986500372036993,0.0427488218828615,0.0015235800588172766,0.26552811536689935,1.329275392717261,1631136.0,040000,3460.533027288957,4234.511254265622,67988.0,-0.1827786444532412
AREQUIPA,2026,32058,7,False,1244.0,268.0,5352.0,15421.0,1502.0,35.0,8236.0,0.03880466654189282,0.00835984777590617,0.16694740782332024,0.4810343751949591,0.04685257969929503,0.0010917711647638656,0.25690935179986274,1.3169562258253582,1656746.0,040000,1934.9978813891807,3460.533027288957,56446.0,-0.4408381985866806
AYACUCHO,2018,10423,12,True,95.0,20.0,1760.0,3444.0,594.0,16.0,4494.0,0.009114458409287153,0.0019188333493236113,0.1688573347404778,0.3304231027535259,0.05698935047491126,0.001535066679458889,0.43116185359301545,1.2570126666332762,659061.0,050000,1581.4924566921725,,,
AYACUCHO,2019,12263,12,True,160.0,20.0,1924.0,3885.0,612.0,29.0,5633.0,0.013047378292424366,0.0016309222865530458,0.156894723966403,0.31680665416292914,0.0499062219685232,0.0023648373155019165,0.45934926200766535,1.2430859049468492,664494.0,050000,1845.4643683765391,1581.4924566921725,10423.0,0.16691316519870525
AYACUCHO,2020,10926,12,True,190.0,22.0,1462.0,3641.0,388.0,19.0,5204.0,0.017389712612117882,0.0020135456708768075,0.13380926231008602,0.33324180853011165,0.03551162365000915,0.0017389712612117885,0.4762950759655867,1.2011525380963435,668213.0,050000,1635.1073684588598,1845.4643683765391,12263.0,-0.11398594495906256
AYACUCHO,2021,12815,12,True,330.0,22.0,2160.0,4311.0,641.0,19.0,5332.0,0.02575107296137339,0.0017167381974248926,0.1685524775653531,0.33640265314085055,0.0500195083886071,0.0014826375341396802,0.4160749122122513,1.2960983928426402,669979.0,050000,1912.7465189207423,1635.1073684588598,10926.0,0.16979872748268887
AYACUCHO,2022,14175,12,True,405.0,73.0,3008.0,5001.0,833.0,16.0,4839.0,0.02857142857142857,0.005149911816578483,0.21220458553791888,0.3528042328042328,0.05876543209876543,0.001128747795414462,0.3413756613756614,1.3663562553873918,670579.0,050000,2113.8449011973235,1912.7465189207423,12815.0,0.105135929035725
AYACUCHO,2023,16577,12,True,596.0,185.0,3946.0,5738.0,1326.0,30.0,4756.0,0.035953429450443386,0.01116004102069132,0.23804065874404295,0.34614224527960424,0.07999034807263075,0.0018097363817337275,0.2869035410508536,1.4503221861123472,670377.0,050000,2472.787700055342,2113.8449011973235,14175.0,0.16980564593679803
AYACUCHO,2024,17467,12,True,786.0,96.0,3985.0,6790.0,943.0,21.0,4846.0,0.044999141237762635,0.0054960783191160476,0.22814450105914008,0.3887330394458121,0.05398751932215034,0.0012022671323066354,0.2774374534837121,1.3939854977065054,669737.0,050000,2608.038677869074,2472.787700055342,16577.0,0.05469574998723292
AYACUCHO,2025,15167,12,True,677.0,131.0,2579.0,6875.0,519.0,27.0,4359.0,0.044636381617986415,0.008637172809388804,0.17004021889628798,0.45328674095074833,0.0342190281532274,0.0017801806553702116,0.2874002769169908,1.324854903582097,669020.0,050000,2267.0473229499867,2608.038677869074,17467.0,-0.13074627988174548
AYACUCHO,2026,8842,7,False,414.0,36.0,1441.0,4061.0,385.0,7.0,2498.0,0.04682198597602352,0.00407147704139335,0.16297217824021715,0.4592852295860665,0.04354218502601222,0.0007916760913820402,0.2825152680389052,1.3179935742511413,668193.0,050000,1323.270372482202,2267.0473229499867,15167.0,-0.41630227164367195
CAJAMARCA,2018,16174,12,True,112.0,44.0,3670.0,6150.0,595.0,39.0,5564.0,0.006924693953258316,0.0027204154816371953,0.22690738221837517,0.38023989118338075,0.0367874366266848,0.0024112773587238777,0.3440089031779399,1.257845752683766,1438325.0,060000,1124.5024594580502,,,
CAJAMARCA,2019,19089,12,True,135.0,33.0,4005.0,7134.0,696.0,44.0,7042.0,0.007072135785007072,0.0017287443030017287,0.20980669495520982,0.3737230865943737,0.03646078893603646,0.002304992404002305,0.3689035570223689,1.2440906548582025,1447891.0,060000,1318.400349197557,1124.5024594580502,16174.0,0.17242993833286513
CAJAMARCA,2020,17563,12,True,215.0,29.0,2788.0,7266.0,440.0,44.0,6781.0,0.012241644365996698,0.0016511985423902523,0.15874281159255252,0.4137106416899163,0.025052667539714173,0.0025052667539714173,0.38609576951545865,1.1965786822815876,1453711.0,060000,1208.1493501803316,1318.400349197557,19089.0,-0.08362482540628091
CAJAMARCA,2021,20654,12,True,358.0,70.0,4314.0,8233.0,404.0,38.0,7237.0,0.01733320422194248,0.0033891740098770215,0.20886995255156388,0.3986152803331074,0.01956037571414738,0.0018398373196475259,0.3503921758497143,1.2392923527830417,1455245.0,060000,1419.279915065848,1208.1493501803316,17563.0,0.17475535193889935
CAJAMARCA,2022,22545,12,True,401.0,131.0,5531.0,9211.0,678.0,50.0,6543.0,0.017786648924373476,0.005810601020181858,0.2453315591040142,0.40856065646484807,0.030073186959414504,0.0022177866489243737,0.2902195608782435,1.2899855644111757,1454217.0,060000,1550.318831371109,1419.279915065848,20654.0,0.09232774656659704
CAJAMARCA,2023,25571,12,True,563.0,295.0,6620.0,9582.0,1377.0,40.0,7094.0,0.022017128778694616,0.011536506198427906,0.2588870204528568,0.37472136404520745,0.05385006452622111,0.001564272026905479,0.2774236439716867,1.3763079634617108,1451436.0,060000,1761.772479117233,1550.318831371109,22545.0,0.1363936523683411
CAJAMARCA,2024,25747,12,True,701.0,400.0,5792.0,10719.0,1096.0,45.0,6994.0,0.027226472987144132,0.015535790577543014,0.22495824756282284,0.4163203480017089,0.04256806618246786,0.0017477764399735892,0.2716432982483396,1.3627295185255504,1447707.0,060000,1778.4676042873316,1761.772479117233,25571.0,0.009476323059867564
CAJAMARCA,2025,22222,12,True,975.0,540.0,4200.0,10162.0,544.0,51.0,5750.0,0.04387543875438754,0.024300243002430024,0.1890018900189002,0.45729457294572945,0.024480244802448023,0.002295022950229502,0.25875258752587527,1.354748490456559,1443839.0,060000,1539.0912698715024,1778.4676042873316,25747.0,-0.13459696079859274
CAJAMARCA,2026,11756,7,False,494.0,285.0,2249.0,5209.0,267.0,23.0,3229.0,0.04202109561075196,0.02424293977543382,0.191306566859476,0.4430928887376659,0.02271180673698537,0.0019564477713507997,0.27466825450833615,1.353515573452698,1439748.0,060000,816.5317819507302,1539.0912698715024,22222.0,-0.46947150053102316
CUSCO,2018,30813,12,True,321.0,14.0,4521.0,12340.0,977.0,48.0,12592.0,0.010417680848992309,0.000454353681887515,0.1467237854152468,0.40048031674942397,0.03170739622886444,0.0015577840521857657,0.4086586830233992,1.184311947223729,1320530.0,080000,2333.3812938744295,,,
CUSCO,2019,36376,12,True,458.0,22.0,5463.0,14894.0,1139.0,52.0,14348.0,0.012590719155487134,0.0006047943699142292,0.15018143831097427,0.40944578843193313,0.03131185396965032,0.0014295139652518143,0.3944358917967891,1.1946731130100114,1340457.0,080000,2713.701371994775,2333.3812938744295,30813.0,0.1629909689936908
CUSCO,2020,28485,12,True,566.0,24.0,3499.0,12084.0,505.0,34.0,11773.0,0.01987010707389854,0.0008425487098472881,0.12283658065648587,0.42422327540810956,0.017728629103036686,0.0011936106722836581,0.4133052483763384,1.1498814126641603,1357075.0,080000,2098.9996868264466,2713.701371994775,36376.0,-0.22651780756424067
CUSCO,2021,32609,12,True,733.0,35.0,4341.0,14523.0,732.0,35.0,12210.0,0.0224784568677359,0.001073323315649054,0.1331227575209298,0.4453678432334632,0.022447790487288784,0.001073323315649054,0.37443650525928424,1.1817103471832036,1369932.0,080000,2380.337126222323,2098.9996868264466,28485.0,0.13403405496512533
CUSCO,2022,35136,12,True,877.0,90.0,5451.0,15374.0,1037.0,29.0,12278.0,0.024960154826958104,0.0025614754098360654,0.15514002732240437,0.43755692167577415,0.029513888888888888,0.0008253642987249545,0.3494421675774135,1.2353973726701726,1380594.0,080000,2544.9915036571215,2380.337126222323,32609.0,0.06917271323499907
CUSCO,2023,40158,12,True,1171.0,177.0,7163.0,16744.0,1932.0,30.0,12941.0,0.02915981871607152,0.004407590019423278,0.17837043677473977,0.41695303550973656,0.048109965635738834,0.0007470491558344539,0.3222521041884556,1.3155037432732588,1389737.0,080000,2889.6114876411866,2544.9915036571215,35136.0,0.13541105480660764
CUSCO,2024,39998,12,True,1506.0,142.0,7018.0,17225.0,1590.0,52.0,12465.0,0.03765188259412971,0.003550177508875444,0.17545877293864692,0.4306465323266163,0.03975198759937997,0.0013000650032501625,0.31164058202910144,1.3118524401035403,1398036.0,080000,2861.0135933552497,2889.6114876411866,40158.0,-0.009896795610153664
CUSCO,2025,36271,12,True,1435.0,197.0,5141.0,16911.0,955.0,27.0,11605.0,0.03956328747484216,0.005431336329298889,0.14173857903007914,0.46624024702930716,0.026329574591271263,0.0007443963497008629,0.3199525791955005,1.254538950581956,1406165.0,080000,2579.42702314451,2861.0135933552497,39998.0,-0.0984219616658688
CUSCO,2026,18832,7,False,704.0,88.0,2613.0,8956.0,410.0,18.0,6043.0,0.037383177570093455,0.004672897196261682,0.13875318606627018,0.47557349192863213,0.021771452846219203,0.0009558198810535259,0.32088997451146983,1.2301540683608136,1414069.0,080000,1331.759624176755,2579.42702314451,36271.0,-0.4836994370349571
HUANCAVELICA,2018,1932,12,True,27.0,3.0,263.0,760.0,100.0,2.0,777.0,0.013975155279503106,0.0015527950310559005,0.13612836438923395,0.39337474120082816,0.051759834368530024,0.0010351966873706005,0.40217391304347827,1.234912248106029,376346.0,090000,513.3573892109921,,,
HUANCAVELICA,2019,2573,12,True,38.0,2.0,350.0,1101.0,137.0,5.0,940.0,0.014768752429071124,0.000777302759424796,0.1360279828993393,0.4279051690633502,0.05324523902059852,0.00194325689856199,0.3653322969296541,1.2385727185466355,371260.0,090000,693.0453051769649,513.3573892109921,1932.0,0.350024991832971
HUANCAVELICA,2020,3065,12,True,50.0,6.0,292.0,1403.0,72.0,5.0,1237.0,0.01631321370309951,0.001957585644371941,0.09526916802610114,0.4577487765089723,0.023491027732463296,0.0016313213703099511,0.4035889070146819,1.1258207692467552,365317.0,090000,838.9973639332416,693.0453051769649,2573.0,0.21059526363721437
HUANCAVELICA,2021,4539,12,True,82.0,7.0,399.0,2359.0,104.0,3.0,1585.0,0.01806565322758317,0.0015421899096717338,0.08790482485128882,0.5197179995593744,0.02291253580083719,0.0006609385327164573,0.3491958581185283,1.0951311978384741,358356.0,090000,1266.6175534942906,838.9973639332416,3065.0,0.5096800156276469
HUANCAVELICA,2022,4492,12,True,92.0,17.0,531.0,2263.0,123.0,4.0,1462.0,0.020480854853072127,0.003784505788067676,0.11821015138023153,0.5037845057880677,0.027382012466607302,0.0008904719501335708,0.3254674977738201,1.1686579290431656,350845.0,090000,1280.3374709629609,1266.6175534942906,4539.0,0.010831933783658876
HUANCAVELICA,2023,4395,12,True,128.0,34.0,555.0,2062.0,189.0,10.0,1417.0,0.02912400455062571,0.007736063708759955,0.12627986348122866,0.46916951080773606,0.043003412969283276,0.0022753128555176336,0.32241183162684867,1.2710704204666228,343026.0,090000,1281.2439873362368,1280.3374709629609,4492.0,0.0007080292452850134
HUANCAVELICA,2024,4318,12,True,151.0,33.0,450.0,2185.0,116.0,9.0,1374.0,0.0349698934691987,0.007642427049559981,0.10421491431218156,0.5060213061602594,0.026864289022695692,0.0020842982862436313,0.31820287169986106,1.2092612947127743,335142.0,090000,1288.4090922653681,1281.2439873362368,4395.0,0.005592303261479303
HUANCAVELICA,2025,3839,12,True,170.0,20.0,399.0,1962.0,92.0,11.0,1185.0,0.044282365199270646,0.005209690023443605,0.10393331596769992,0.5110705912998177,0.023964574107840583,0.0028653295128939827,0.3086741338890336,1.2128144183393315,327440.0,090000,1172.4285365257758,1288.4090922653681,4318.0,-0.0900184238343642
HUANCAVELICA,2026,1963,7,False,60.0,13.0,189.0,1084.0,29.0,2.0,586.0,0.030565461029037188,0.006622516556291391,0.09628120224146715,0.5522159959246052,0.014773306164034642,0.0010188487009679063,0.29852266938359656,1.1232692550828733,319894.0,090000,613.6407685045672,1172.4285365257758,3839.0,-0.4766071027894362
HUANUCO,2018,10000,12,True,130.0,35.0,1135.0,3506.0,574.0,20.0,4600.0,0.013,0.0035,0.1135,0.3506,0.0574,0.002,0.46,1.224351744466579,757467.0,100000,1320.1895264084112,,,
HUANUCO,2019,13925,12,True,237.0,42.0,1894.0,4582.0,1039.0,36.0,6095.0,0.017019748653500897,0.003016157989228007,0.13601436265709158,0.329048473967684,0.07461400359066428,0.002585278276481149,0.43770197486535006,1.2946297679746452,759851.0,100000,1832.5961273986609,1320.1895264084112,10000.0,0.3881310908322815
HUANUCO,2020,13384,12,True,403.0,31.0,1449.0,4986.0,621.0,20.0,5874.0,0.030110579796772265,0.002316198445905559,0.10826359832635983,0.3725343693962941,0.04639868499701136,0.0014943215780035865,0.4388822474596533,1.2416869937300077,760267.0,100000,1760.4341632610647,1832.5961273986609,13925.0,-0.03937690528683424
HUANUCO,2021,16406,12,True,568.0,53.0,2252.0,6604.0,834.0,30.0,6065.0,0.03462147994636109,0.003230525417530172,0.13726685359014995,0.40253565768621236,0.05083506034377667,0.0018285992929416067,0.36968182372302816,1.3047027514572291,758416.0,100000,2163.192759646421,1760.4341632610647,13384.0,0.22878367438591285
HUANUCO,2022,19216,12,True,651.0,119.0,3292.0,8384.0,1146.0,43.0,5581.0,0.033878018318068276,0.006192756036636137,0.17131557035803496,0.4363030807660283,0.05963780183180683,0.0022377185678601167,0.29043505412156534,1.3511725337711882,755213.0,100000,2544.4477253437108,2163.192759646421,16406.0,0.17624641354643167
HUANUCO,2023,21424,12,True,807.0,352.0,4059.0,9254.0,1583.0,37.0,5332.0,0.037668035847647496,0.016430171769977596,0.18946041822255413,0.43194548170276326,0.07388909634055266,0.0017270351008215085,0.24887976101568335,1.4184175206921474,751097.0,100000,2852.361279568418,2544.4477253437108,19216.0,0.12101390457259775
HUANUCO,2024,20693,12,True,1034.0,250.0,3317.0,9968.0,1091.0,29.0,5004.0,0.04996858841154014,0.012081380176871406,0.1602957521867298,0.4817087904122167,0.05272314309186681,0.001401440100517083,0.24182090562025807,1.3560179750743353,746509.0,100000,2771.9692595802594,2852.361279568418,21424.0,-0.028184375017291763
HUANUCO,2025,18991,12,True,917.0,251.0,3761.0,8906.0,583.0,25.0,4548.0,0.048286030224843346,0.013216786899057448,0.19804117739982097,0.46895898056974356,0.03069875204044021,0.001316413037754726,0.23948185982833975,1.337272038131238,741887.0,100000,2559.823800659669,2771.9692595802594,20693.0,-0.07653239955219204
HUANUCO,2026,10554,7,False,410.0,153.0,2032.0,4953.0,347.0,20.0,2639.0,0.03884783020655676,0.014496873223422399,0.19253363653591055,0.469300739056282,0.03287852946750047,0.0018950161076369148,0.2500473754026909,1.3305354053263376,737187.0,100000,1431.658453011244,2559.823800659669,18991.0,-0.440719922737532
ICA,2018,27185,12,True,373.0,96.0,5226.0,8086.0,4026.0,36.0,9342.0,0.01372080191281957,0.0035313592054441786,0.1922383667463675,0.2974434430752253,0.14809637667831524,0.001324259702041567,0.34364539267978667,1.4151357990634015,923175.0,110000,2944.7287892328104,,,
ICA,2019,32701,12,True,448.0,123.0,6152.0,10000.0,5188.0,46.0,10744.0,0.01369988685361304,0.0037613528638267943,0.18812880340050764,0.3058010458395768,0.15864958258157244,0.0014066848108620531,0.3285526436500413,1.4234080158458267,950100.0,110000,3441.848226502473,2944.7287892328104,27185.0,0.168816713813287
ICA,2020,25782,12,True,442.0,102.0,3667.0,9539.0,2588.0,21.0,9423.0,0.017143743697153054,0.0039562485454968585,0.14223101388565665,0.36998681250484833,0.10038011015437126,0.0008145217593670003,0.3654875494531068,1.3412814624286145,975182.0,110000,2643.8141803273643,3441.848226502473,32701.0,-0.23186206760373418
ICA,2021,28273,12,True,737.0,176.0,4021.0,11191.0,2866.0,30.0,9252.0,0.026067272662964665,0.006225020337424398,0.14222049304990628,0.39581933293247973,0.10136879708555865,0.001061083012060977,0.32723800091960525,1.37576103660481,998144.0,110000,2832.557226211849,2643.8141803273643,25782.0,0.07139043556424007
