departamento,anio,confianza_pnp_pct,percepcion_inseguridad_pct,victimizacion_estafa_pct,victimizacion_pct,victimizacion_robo_pct
LIMA METROPOLITANA,2021,29.0,61.7,2.8,22.2,14.9
LIMA METROPOLITANA,2022,24.5,68.3,4.7,26.7,18.9
LIMA METROPOLITANA,2023,23.5,62.3,6.3,32.6,20.8
LIMA METROPOLITANA,2024,17.7,61.2,4.2,30.1,19.0
LORETO,2013,,48.2,6.9,30.2,15.5
LORETO,2014,25.5,45.8,4.6,26.4,14.3
LORETO,2015,26.3,48.7,2.7,21.4,12.2
LORETO,2016,23.4,46.9,4.0,25.3,12.0
LORETO,2017,22.3,40.8,2.9,21.6,10.9
LORETO,2018,20.7,44.2,3.1,23.4,11.3
LORETO,2019,19.4,42.5,2.2,22.7,13.0
LORETO,2020,25.2,20.3,1.0,18.1,11.0
LORETO,2021,24.5,39.9,2.4,16.9,8.2
LORETO,2022,21.9,49.7,3.9,23.8,11.4
LORETO,2023,19.7,45.8,3.6,20.1,9.2
LORETO,2024,17.7,44.2,2.4,21.7,8.9
MADRE DE DIOS,2013,,61.7,6.8,29.1,14.5
MADRE DE DIOS,2014,9.4,62.0,1.9,25.0,16.2
MADRE DE DIOS,2015,10.6,69.4,7.6,28.2,15.3
MADRE DE DIOS,2016,9.4,64.6,12.5,35.4,16.3
MADRE DE DIOS,2017,12.5,60.2,6.6,28.3,16.0
MADRE DE DIOS,2018,8.4,70.6,12.1,32.9,16.6
MADRE DE DIOS,2019,8.2,75.9,10.7,35.4,20.5
MADRE DE DIOS,2020,15.3,33.1,3.7,23.0,15.5
MADRE DE DIOS,2021,10.6,67.7,3.5,24.4,15.9
MADRE DE DIOS,2022,9.7,75.4,4.6,25.7,17.0
MADRE DE DIOS,2023,9.3,75.0,3.1,32.0,19.9
MADRE DE DIOS,2024,7.2,74.4,2.1,28.6,15.0
MOQUEGUA,2013,,54.3,4.8,31.3,19.2
MOQUEGUA,2014,19.8,50.1,3.7,25.5,14.3
MOQUEGUA,2015,20.6,48.9,5.3,26.5,15.4
MOQUEGUA,2016,19.7,49.1,2.2,19.3,10.9
MOQUEGUA,2017,17.6,40.7,2.8,18.2,11.0
MOQUEGUA,2018,15.8,43.3,2.3,14.7,8.6
MOQUEGUA,2019,15.6,45.6,2.3,15.8,9.1
MOQUEGUA,2020,24.0,20.6,3.0,16.4,9.1
MOQUEGUA,2021,19.4,46.8,2.0,12.0,4.5
MOQUEGUA,2022,18.1,48.8,4.1,15.5,7.3
MOQUEGUA,2023,17.5,43.2,3.0,17.1,7.0
MOQUEGUA,2024,17.1,46.5,3.4,24.3,11.4
PASCO,2013,,51.2,14.4,34.2,18.5
PASCO,2014,14.2,49.3,4.0,27.2,17.2
PASCO,2015,13.7,48.5,6.2,24.8,15.5
PASCO,2016,14.3,45.3,9.0,27.0,14.7
PASCO,2017,18.5,43.0,5.8,21.5,12.0
PASCO,2018,14.5,39.4,6.8,20.2,10.2
PASCO,2019,13.1,39.3,5.0,22.1,13.6
PASCO,2020,23.0,17.9,4.0,16.6,10.4
PASCO,2021,18.8,34.7,2.7,12.7,6.6
PASCO,2022,20.1,39.4,5.9,18.4,9.5
PASCO,2023,17.9,37.0,5.0,19.0,10.9
PASCO,2024,17.7,39.9,2.3,19.0,10.4
PIURA,2013,,63.4,11.4,31.1,18.1
PIURA,2014,22.5,59.8,5.7,23.2,14.9
PIURA,2015,23.7,59.1,9.2,28.0,16.6
PIURA,2016,23.6,62.6,8.3,25.1,12.9
PIURA,2017,25.5,59.6,3.9,19.0,11.9
PIURA,2018,23.8,55.6,3.4,18.3,10.5
PIURA,2019,26.1,50.3,2.9,16.4,10.6
PIURA,2020,33.1,30.0,2.0,14.6,8.9
PIURA,2021,26.7,54.0,1.4,10.3,6.2
PIURA,2022,26.6,63.6,5.1,18.1,9.1
PIURA,2023,22.4,63.0,6.1,27.0,12.8
PIURA,2024,23.1,61.4,4.0,26.5,11.6
PROV. CONST. DEL CALLAO,2013,,59.8,11.0,38.9,23.6
PROV. CONST. DEL CALLAO,2014,17.3,62.9,7.6,30.6,20.5
PROV. CONST. DEL CALLAO,2015,18.0,67.3,10.2,32.4,21.2
PROV. CONST. DEL CALLAO,2016,19.0,64.0,9.2,31.1,21.1
PROV. CONST. DEL CALLAO,2017,20.1,55.8,5.3,28.8,20.2
PROV. CONST. DEL CALLAO,2018,17.5,57.4,4.1,27.3,19.6
PROV. CONST. DEL CALLAO,2019,20.4,61.4,3.5,28.9,21.5
PROV. CONST. DEL CALLAO,2020,33.1,35.6,2.8,26.6,20.6
PROV. CONST. DEL CALLAO,2021,26.2,56.5,2.1,19.9,13.7
PROV. CONST. DEL CALLAO,2022,24.3,66.1,3.2,22.2,14.6
PROV. CONST. DEL CALLAO,2023,28.7,57.8,5.0,29.2,18.1
PROV. CONST. DEL CALLAO,2024,20.0,60.8,3.3,25.7,16.6
PUNO,2013,,65.2,3.2,37.4,26.6
PUNO,2014,4.4,70.1,4.3,37.3,27.2
PUNO,2015,5.9,68.0,6.8,39.7,29.6
PUNO,2016,5.7,68.5,5.7,34.2,24.1
PUNO,2017,6.8,69.0,7.3,35.2,22.2
PUNO,2018,5.9,71.7,12.3,39.6,22.5
PUNO,2019,5.8,68.8,12.0,40.6,25.0
PUNO,2020,8.5,32.9,6.1,32.6,21.8
PUNO,2021,7.9,64.9,6.2,23.3,12.5
PUNO,2022,7.1,71.5,5.1,29.7,19.4
PUNO,2023,8.0,70.5,7.3,33.1,21.5
PUNO,2024,7.6,76.7,6.7,35.1,21.8
REGION LIMA,2013,,52.8,14.8,34.0,16.4
REGION LIMA,2014,21.7,57.8,12.0,30.2,17.7
REGION LIMA,2015,24.0,54.5,12.8,29.4,15.8
REGION LIMA,2016,17.8,56.6,7.0,24.7,15.4
REGION LIMA,2017,18.2,52.2,6.0,22.4,13.6
REGION LIMA,2018,17.7,49.0,6.2,22.8,14.0
REGION LIMA,2019,18.4,50.8,4.7,23.4,14.9
REGION LIMA,2020,29.3,25.3,3.9,19.5,11.8
REGION LIMA,2021,28.0,47.8,3.8,13.9,7.1
REGION LIMA,2022,24.7,59.3,4.6,20.8,13.3
REGION LIMA,2023,22.6,49.6,5.0,24.2,14.0
REGION LIMA,2024,15.7,50.1,3.2,19.7,10.5
SAN MARTIN,2013,,34.9,4.9,21.0,7.9
SAN MARTIN,2014,19.9,34.7,4.6,19.3,6.9
SAN MARTIN,2015,19.8,30.9,3.3,13.5,5.3
SAN MARTIN,2016,19.0,31.8,7.2,19.4,5.3
SAN MARTIN,2017,21.5,26.4,3.1,15.0,5.1
SAN MARTIN,2018,19.6,27.1,2.4,12.9,4.7
SAN MARTIN,2019,22.2,26.9,2.2,12.6,4.7
SAN MARTIN,2020,27.7,12.5,2.4,9.9,3.7
SAN MARTIN,2021,23.1,23.2,1.5,8.4,2.5
SAN MARTIN,2022,23.5,29.2,6.7,14.5,3.8
SAN MARTIN,2023,22.1,26.1,4.2,16.3,5.3
SAN MARTIN,2024,24.8,23.1,3.4,20.9,5.4
TACNA,2013,,62.4,13.0,46.3,28.2
TACNA,2014,14.9,67.6,7.7,39.2,26.6
TACNA,2015,14.7,63.9,7.8,35.2,23.1
TACNA,2016,16.8,63.9,11.5,37.9,21.1
TACNA,2017,16.9,59.3,17.9,44.6,26.5
TACNA,2018,17.1,59.7,15.7,38.0,20.9
TACNA,2019,15.7,64.0,12.2,34.8,18.5
TACNA,2020,23.3,25.5,6.3,29.1,18.6
TACNA,2021,13.6,57.8,5.1,17.7,8.1
TACNA,2022,17.5,63.3,6.6,27.4,14.1
TACNA,2023,16.7,62.3,6.4,31.5,17.9
TACNA,2024,16.2,60.7,6.8,31.3,17.3
TUMBES,2013,,58.5,7.4,32.7,20.4
TUMBES,2014,23.3,58.3,1.4,23.1,15.6
TUMBES,2015,24.4,54.6,0.8,18.3,13.4
TUMBES,2016,24.1,55.3,0.7,17.6,11.7
TUMBES,2017,28.8,51.0,1.3,18.6,11.5
TUMBES,2018,25.2,50.4,3.4,18.0,10.2
TUMBES,2019,31.8,46.4,2.7,19.6,13.0
TUMBES,2020,39.7,24.9,0.9,12.4,8.7
TUMBES,2021,29.8,41.8,1.1,10.2,5.9
TUMBES,2022,30.0,50.9,2.2,12.6,6.7
TUMBES,2023,34.6,48.3,2.0,17.4,10.0
TUMBES,2024,37.8,42.8,0.9,16.3,7.3
UCAYALI,2013,,56.0,10.5,31.6,14.4
UCAYALI,2014,24.5,58.6,7.3,25.1,12.1
UCAYALI,2015,22.3,59.0,8.1,25.5,10.5
UCAYALI,2016,18.5,56.3,6.5,22.7,10.1
UCAYALI,2017,22.4,51.8,4.6,17.3,7.9
UCAYALI,2018,21.5,52.0,4.2,15.9,7.9
UCAYALI,2019,23.3,52.0,2.8,16.6,10.0
UCAYALI,2020,25.6,25.0,3.1,16.0,9.8
UCAYALI,2021,22.7,50.5,2.8,13.1,6.7
UCAYALI,2022,17.0,59.3,4.9,20.1,9.8
UCAYALI,2023,21.0,61.8,3.8,21.9,10.5
UCAYALI,2024,21.7,58.2,3.0,20.5,9.1
