departamento,anio,denuncias_total,meses_observados,anio_completo,denuncias_estafa,denuncias_extorsion,denuncias_hurto,denuncias_otros,denuncias_robo,denuncias_secuestro,denuncias_violencia_contra_la_mujer_e_integrantes,prop_estafa,prop_extorsion,prop_hurto,prop_otros,prop_robo,prop_secuestro,prop_violencia_contra_la_mujer_e_integrantes,diversidad_modalidades,poblacion,ubigeo,denuncias_tasa_100k,denuncias_tasa_100k_lag1,denuncias_total_lag1,denuncias_tasa_yoy,confianza_pnp_pct,percepcion_inseguridad_pct,victimizacion_estafa_pct,victimizacion_pct,victimizacion_robo_pct,victimizacion_pct_lag1,percepcion_inseguridad_pct_lag1,confianza_pnp_pct_lag1,victimizacion_robo_pct_lag1,victimizacion_estafa_pct_lag1,brecha_percepcion_victimizacion,victimizacion_alta_q75_anual
LIMA METROPOLITANA,2023,377345,12,True,13867.0,10197.0,91953.0,104955.0,71767.0,514.0,84092.0,0.036748863771879844,0.027023016072824604,0.2436841617087811,0.2781406935297937,0.19018934926923636,0.0013621486968159113,0.2228517669506685,1.5781654590125533,,,,,294568.0,,23.5,62.3,6.3,32.6,20.8,26.7,68.3,24.5,18.9,4.7,29.699999999999996,1
LIMA METROPOLITANA,2024,368677,12,True,16227.0,7975.0,93690.0,117210.0,52354.0,439.0,80782.0,0.04401413703594203,0.02163140092818375,0.2541248843838916,0.31792056461346924,0.142005061340957,0.0011907442015639707,0.21911320749599242,1.5506951708710144,,,,,377345.0,,17.7,61.2,4.2,30.1,19.0,32.6,62.3,23.5,20.8,6.3,31.1,1
LORETO,2018,11493,12,True,110.0,16.0,2324.0,5232.0,347.0,16.0,3448.0,0.009571043243713565,0.001392151744540155,0.2022100408944575,0.4552336204646306,0.03019229095971461,0.001392151744540155,0.3000087009484034,1.2111456415442021,1000350.0,160000,1148.8978857399911,,,,20.7,44.2,3.1,23.4,11.3,,,,,,20.800000000000004,0
LORETO,2019,13562,12,True,151.0,21.0,2513.0,6190.0,456.0,18.0,4213.0,0.011134051024922579,0.001548444182274001,0.1852971538121221,0.45642235658457453,0.03362335938652116,0.0013272378705205723,0.31064739713906503,1.2164968439039134,1015212.0,160000,1335.8786145159827,1148.8978857399911,11493.0,0.16274790918912663,19.4,42.5,2.2,22.7,13.0,23.4,44.2,20.7,11.3,3.1,19.8,0
LORETO,2020,10020,12,True,117.0,17.0,1566.0,4306.0,291.0,10.0,3713.0,0.011676646706586826,0.0016966067864271457,0.1562874251497006,0.4297405189620758,0.02904191616766467,0.000998003992015968,0.37055888223552896,1.1933574554694766,1027559.0,160000,975.1264890872446,1335.8786145159827,13562.0,-0.270048581891137,25.2,20.3,1.0,18.1,11.0,22.7,42.5,19.4,13.0,2.2,2.1999999999999993,0
LORETO,2021,11885,12,True,195.0,36.0,2000.0,5098.0,431.0,14.0,4111.0,0.016407236011779555,0.0030290281867900717,0.16827934371055953,0.42894404711821627,0.03626419856962558,0.0011779554059739167,0.3458981909970551,1.2434063702041338,1037055.0,160000,1146.0337204873415,975.1264890872446,10020.0,0.17526673032959295,24.5,39.9,2.4,16.9,8.2,18.1,20.3,25.2,11.0,1.0,23.0,0
LORETO,2022,14153,12,True,319.0,87.0,2609.0,6306.0,756.0,19.0,4057.0,0.022539390941849785,0.006147106620504487,0.18434254221719776,0.44555924538967,0.053416236840245886,0.0013424715607998304,0.28665300642973224,1.3122336318807581,1044884.0,160000,1354.504423457532,1146.0337204873415,11885.0,0.18190625567416996,21.9,49.7,3.9,23.8,11.4,16.9,39.9,24.5,8.2,2.4,25.900000000000002,0
LORETO,2023,16097,12,True,348.0,179.0,2702.0,7926.0,781.0,15.0,4146.0,0.02161893520531776,0.011120084487792756,0.16785736472634652,0.49238988631422004,0.048518357457911415,0.0009318506554016276,0.2575635211530099,1.284028252763255,1051560.0,160000,1530.7733272471376,1354.504423457532,14153.0,0.13013534746505906,19.7,45.8,3.6,20.1,9.2,23.8,49.7,21.9,11.4,3.9,25.699999999999996,0
LORETO,2024,15895,12,True,349.0,152.0,2399.0,8161.0,524.0,18.0,4292.0,0.021956590122680086,0.00956275558351683,0.15092796476879522,0.5134318968229002,0.03296634161686065,0.0011324315822585718,0.2700220195029884,1.229680336688591,1057592.0,160000,1502.9425336046415,1530.7733272471376,16097.0,-0.018180871816303124,17.7,44.2,2.4,21.7,8.9,20.1,45.8,19.7,9.2,3.6,22.500000000000004,0
MADRE DE DIOS,2018,5985,12,True,49.0,13.0,920.0,1811.0,842.0,5.0,2345.0,0.008187134502923977,0.002172096908939014,0.15371762740183792,0.30258980785296574,0.14068504594820383,0.000835421888053467,0.391812865497076,1.3511809289127716,161324.0,170000,3709.9253675832488,,,,8.4,70.6,12.1,32.9,16.6,,,,,,37.699999999999996,1
