VALOR,INDICADOR,CLASIF,PERIODO,VALOR PERIODO,COD_UBICACION,AMBITO_PROY,DEPARTAMENTO
14,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2016,12,DEPARTAMENTO,JUNÍN
13.6,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2016,8,DEPARTAMENTO,CUSCO
9.4,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2016,17,DEPARTAMENTO,MADRE DE DIOS
5.7,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2016,21,DEPARTAMENTO,PUNO
18.7,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2017,0,NACIONAL,NACIONAL
28.8,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2017,24,DEPARTAMENTO,TUMBES
27.3,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2017,6,DEPARTAMENTO,CAJAMARCA
25.5,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2017,20,DEPARTAMENTO,PIURA
23.9,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2017,1,DEPARTAMENTO,AMAZONAS
22.4,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2017,25,DEPARTAMENTO,UCAYALI
22.3,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2017,16,DEPARTAMENTO,LORETO
21.7,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2017,4,DEPARTAMENTO,AREQUIPA
21.5,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2017,22,DEPARTAMENTO,SAN MARTÍN
21.3,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2017,14,DEPARTAMENTO,LAMBAYEQUE
20.1,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2017,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
19.7,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2017,1501,DEPARTAMENTO,LIMA METROPOLITANA
18.9,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2017,13,DEPARTAMENTO,LA LIBERTAD
18.7,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2017,11,DEPARTAMENTO,ICA
18.5,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2017,19,DEPARTAMENTO,PASCO
18.2,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2017,1599,DEPARTAMENTO,REGIÓN LIMA
17.6,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2017,18,DEPARTAMENTO,MOQUEGUA
16.9,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2017,23,DEPARTAMENTO,TACNA
16.6,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2017,2,DEPARTAMENTO,ÁNCASH
14.3,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2017,12,DEPARTAMENTO,JUNÍN
12.7,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2017,9,DEPARTAMENTO,HUANCAVELICA
12.5,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2017,17,DEPARTAMENTO,MADRE DE DIOS
12.3,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2017,3,DEPARTAMENTO,APURÍMAC
12.3,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2017,5,DEPARTAMENTO,AYACUCHO
11.5,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2017,10,DEPARTAMENTO,HUÁNUCO
11,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2017,8,DEPARTAMENTO,CUSCO
6.8,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2017,21,DEPARTAMENTO,PUNO
17.2,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2018,0,NACIONAL,NACIONAL
25.2,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2018,24,DEPARTAMENTO,TUMBES
23.8,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2018,20,DEPARTAMENTO,PIURA
22.7,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2018,1,DEPARTAMENTO,AMAZONAS
22.6,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2018,6,DEPARTAMENTO,CAJAMARCA
21.5,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2018,25,DEPARTAMENTO,UCAYALI
20.7,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2018,16,DEPARTAMENTO,LORETO
20.1,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2018,11,DEPARTAMENTO,ICA
19.6,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2018,22,DEPARTAMENTO,SAN MARTÍN
18.4,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2018,4,DEPARTAMENTO,AREQUIPA
18.3,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2018,1501,DEPARTAMENTO,LIMA METROPOLITANA
18.2,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2018,14,DEPARTAMENTO,LAMBAYEQUE
17.8,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2018,13,DEPARTAMENTO,LA LIBERTAD
17.7,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2018,1599,DEPARTAMENTO,REGIÓN LIMA
17.5,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2018,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
17.1,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2018,23,DEPARTAMENTO,TACNA
15.8,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2018,18,DEPARTAMENTO,MOQUEGUA
15.2,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2018,9,DEPARTAMENTO,HUANCAVELICA
14.8,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2018,2,DEPARTAMENTO,ÁNCASH
14.5,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2018,19,DEPARTAMENTO,PASCO
13.7,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2018,10,DEPARTAMENTO,HUÁNUCO
13.5,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2018,8,DEPARTAMENTO,CUSCO
10.5,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2018,3,DEPARTAMENTO,APURÍMAC
10.2,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2018,12,DEPARTAMENTO,JUNÍN
9.1,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2018,5,DEPARTAMENTO,AYACUCHO
8.4,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2018,17,DEPARTAMENTO,MADRE DE DIOS
5.9,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2018,21,DEPARTAMENTO,PUNO
18.8,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2019,0,NACIONAL,NACIONAL
31.8,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2019,24,DEPARTAMENTO,TUMBES
28.2,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2019,1,DEPARTAMENTO,AMAZONAS
27.7,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2019,6,DEPARTAMENTO,CAJAMARCA
26.1,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2019,20,DEPARTAMENTO,PIURA
25.6,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2019,14,DEPARTAMENTO,LAMBAYEQUE
23.3,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2019,25,DEPARTAMENTO,UCAYALI
22.2,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2019,22,DEPARTAMENTO,SAN MARTÍN
21.2,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2019,9,DEPARTAMENTO,HUANCAVELICA
21.1,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2019,11,DEPARTAMENTO,ICA
20.4,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2019,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
19.4,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2019,16,DEPARTAMENTO,LORETO
19.2,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2019,1501,DEPARTAMENTO,LIMA METROPOLITANA
18.4,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2019,1599,DEPARTAMENTO,REGIÓN LIMA
17.9,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2019,4,DEPARTAMENTO,AREQUIPA
17.7,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2019,10,DEPARTAMENTO,HUÁNUCO
17,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2019,13,DEPARTAMENTO,LA LIBERTAD
16.8,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2019,8,DEPARTAMENTO,CUSCO
16.3,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2019,2,DEPARTAMENTO,ÁNCASH
15.7,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2019,23,DEPARTAMENTO,TACNA
15.6,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2019,18,DEPARTAMENTO,MOQUEGUA
13.1,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2019,19,DEPARTAMENTO,PASCO
11.5,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2019,3,DEPARTAMENTO,APURÍMAC
